Sample in Buffer,Sample in Window,TRIGGER,trig[1:0],rxdatak[3:0],rxdata[31:0],DETECT/Q[1:0]
390,390,0,0,0,0000d58d,0
391,391,0,0,3,0000fefe,0
392,392,0,0,2,0000fe7b,0
393,393,0,0,2,0000fe6d,0
394,394,0,0,1,000059fe,0
395,395,0,0,1,0000115c,0
396,396,0,0,1,000083fe,0
397,397,0,0,1,0000affe,0
398,398,0,0,3,0000fefe,0
399,399,0,0,1,000048fe,0
400,400,0,0,0,0000a00a,0
401,401,0,0,2,0000fed0,0
402,402,0,0,2,0000fe8b,0
403,403,0,0,1,000057fe,0
404,404,0,0,1,000009fe,0
405,405,0,0,3,0000fefe,0
406,406,0,0,0,0000916c,0
407,407,0,0,0,0000f1cb,0
408,408,0,0,2,0000fe9c,0
409,409,0,0,0,0000cc0d,0
410,410,0,0,3,0000fefe,0
411,411,0,0,0,0000a7d1,0
412,412,0,0,2,0000fea7,0
413,413,0,0,2,0000fe60,0
414,414,0,0,1,000085fe,0
415,415,0,0,2,0000fec4,0
416,416,0,0,2,0000fe0d,0
417,417,0,0,3,0000fefe,0
418,418,0,0,2,0000fee0,0
419,419,0,0,2,0000fe0f,0
420,420,0,0,0,0000be20,0
421,421,0,0,2,0000fed8,0
422,422,0,0,0,00000283,0
423,423,0,0,0,00002ec3,0
424,424,0,0,2,0000feef,0
425,425,0,0,2,0000fe5f,0
426,426,0,0,1,000037fe,0
427,427,0,0,0,00000e56,0
428,428,0,0,2,0000fe21,0
429,429,0,0,1,0000edfe,0
430,430,0,0,0,0000f658,0
431,431,0,0,1,00000dfe,0
432,432,0,0,2,0000fed3,0
433,433,0,0,3,0000fefb,0
434,434,0,0,2,0000fed7,0
435,435,0,0,2,0000fe0d,0
436,436,0,0,1,000082fe,0
437,437,0,0,0,000022ea,0
438,438,0,0,2,00007c98,0
439,439,0,0,1,0000a1fe,0
440,440,0,0,0,000052d8,0
441,441,0,0,1,00009bfe,0
442,442,0,0,0,00001431,0
443,443,0,0,1,0000ea9c,0
444,444,0,0,1,000090fe,0
445,445,0,0,0,00001acb,0
446,446,0,0,0,00007997,0
447,447,0,0,3,0000fefe,0
448,448,0,0,1,00008cfe,0
449,449,0,0,2,0000fee5,0
450,450,0,0,2,0000fe6b,0
451,451,0,0,0,0000619d,0
452,452,0,0,1,00005dfe,0
453,453,0,0,3,0000fefe,0
454,454,0,0,1,0000fffe,0
455,455,0,0,2,0000fe7a,0
456,456,0,0,3,0000fefe,0
457,457,0,0,3,0000fefe,0
458,458,0,0,0,00006022,0
459,459,0,0,2,0000fe8e,0
460,460,0,0,2,0000fe02,0
461,461,0,0,2,0000fe48,0
462,462,0,0,3,0000fefe,0
463,463,0,0,3,0000fefe,0
464,464,0,0,3,0000fefe,0
465,465,0,0,3,0000fefe,0
466,466,0,0,0,000017e8,0
467,467,0,0,3,0000fefe,0
468,468,0,0,1,0000d1fe,0
469,469,0,0,3,0000fefe,0
470,470,0,0,3,0000fefe,0
471,471,0,0,2,0000fe87,0
472,472,0,0,0,00007409,0
473,473,0,0,0,00002c68,0
474,474,0,0,1,000094fe,0
475,475,0,0,0,0000e821,0
476,476,0,0,0,000084fb,0
477,477,0,0,3,0000fefe,0
478,478,0,0,0,000019d9,0
479,479,0,0,2,0000fe58,0
480,480,0,0,1,000071fe,0
481,481,0,0,2,0000fe26,0
482,482,0,0,2,0000feb7,0
483,483,0,0,1,0000ecfe,0
484,484,0,0,0,00007684,0
485,485,0,0,1,00004dfe,0
486,486,0,0,0,00005138,0
487,487,0,0,0,000068da,0
488,488,0,0,1,0000e1fe,0
489,489,0,0,3,0000fefe,0
490,490,0,0,3,0000fefe,0
491,491,0,0,2,0000fe29,0
492,492,0,0,1,00001cfe,0
493,493,0,0,1,000040fe,0
494,494,0,0,1,000003fe,0
495,495,0,0,0,00001977,0
496,496,0,0,0,00004199,0
497,497,0,0,3,0000fefe,0
498,498,0,0,0,0000c81b,0
499,499,0,0,3,0000fefe,0
500,500,0,0,0,00003dc6,0
501,501,0,0,0,00007759,0
502,502,0,0,1,000035fe,0
503,503,0,0,0,00002481,0
504,504,0,0,1,0000f8fe,0
505,505,0,0,3,0000fefe,0
506,506,0,0,2,0000fe1f,0
507,507,0,0,1,000079fe,0
508,508,0,0,0,00005c6b,0
509,509,0,0,0,0000c867,0
510,510,0,0,0,0000195a,0
511,511,0,0,3,0000fefe,0
512,512,0,0,2,0000fe7b,0
513,513,0,0,1,0000c4fe,0
514,514,0,0,0,0000390b,0
515,515,0,0,0,0000a46e,0
516,516,0,0,3,0000fefe,0
517,517,0,0,2,0000fedb,0
518,518,0,0,3,0000fefe,0
519,519,0,0,0,00003852,0
520,520,0,0,2,0000fe3e,0
521,521,0,0,0,000080df,0
522,522,0,0,1,0000cdfe,0
523,523,0,0,3,0000fefe,0
524,524,0,0,1,0000e51c,0
525,525,0,0,0,0000c8ad,0
526,526,0,0,3,0000fefe,0
527,527,0,0,2,00001c91,0
